5.80198,5.80199,5.80199,5.80198,5.80199,5.80198,5.80198,5.80199,5.80198
4.80198,4.80199,4.80199,4.80198,4.80199,4.80198,4.80198,4.80199,4.80198
3.80204,3.80207,3.80206,3.80205,3.80208,3.80206,3.80205,3.80208,3.80206
2.80531,2.80549,2.8054,2.8054,2.80558,2.80549,2.80542,2.8056,2.80551
1.84426,1.84462,1.84444,1.84453,1.84488,1.84471,1.84465,1.845,1.84482
1.02475,1.02463,1.02468,1.02498,1.02488,1.02493,1.02504,1.02494,1.02499
0.465233,0.464685,0.464964,0.465694,0.465138,0.465416,0.465665,0.465109,0.465387
0.171818,0.171467,0.171624,0.172142,0.171827,0.171984,0.17175,0.171436,0.171593
0.0525535,0.0526031,0.0525724,0.0528607,0.0529209,0.0528906,0.0526806,0.052742,0.0527111
0.0136396,0.0138061,0.0137244,0.0138144,0.0139769,0.0138958,0.013862,0.0140242,0.0139433
0.00307724,0.00318731,0.00313307,0.00315479,0.00326319,0.00320918,0.0031877,0.00329585,0.00324196
0.00062268,0.000670023,0.00064644,0.000644867,0.000692141,0.000668539,0.000657785,0.000705141,0.000681498
0.000113914,0.000129783,0.000121798,0.000119772,0.000135806,0.000127753,0.000121899,0.000137958,0.000129893
